start,end
280,290
280,257
280,40
280,297
280,119
280,67
280,185
280,105
280,315
280,25
280,153
280,142
280,239
280,200
280,21
280,277
280,322
280,232
280,133
280,323
280,117
280,169
280,31
280,39
272,159
272,203
272,21
272,105
272,108
272,56
272,291
272,211
272,67
272,197
272,297
272,257
272,185
272,98
272,277
272,72
272,148
272,320
272,25
272,40
272,281
272,127
272,75
272,156
272,258
272,239
272,79
272,188
272,184
272,178
272,141
272,85
211,199
211,325
211,239
211,98
211,203
211,331
211,118
211,172
211,56
211,128
211,13
211,342
211,222
211,238
211,261
211,103
211,29
211,315
211,223
211,59
211,313
211,268
211,170
211,265
199,222
199,40
199,265
199,118
199,212
199,261
199,119
199,314
199,98
199,203
199,313
199,315
199,238
199,200
199,141
199,325
199,239
199,172
199,56
199,128
199,223
199,113
199,134
199,25
199,291
199,324
199,161
199,62
199,322
199,67
199,232
199,342
199,298
199,231
199,72
199,288
199,48
199,13
84,224
84,51
84,237
84,25
84,83
84,265
84,313
84,31
133,62
133,188
133,96
133,40
133,1
133,141
133,315
133,232
133,183
133,224
133,322
62,239
62,200
62,161
62,323
62,56
62,67
62,142
62,322
62,170
62,223
62,141
62,341
62,318
62,98
62,261
62,224
62,96
239,172
239,344
239,238
239,141
239,223
239,21
239,56
239,118
239,295
239,212
239,234
239,323
239,325
239,203
239,313
239,232
239,59
239,322
239,188
239,119
239,55
239,109
239,265
239,67
239,169
239,261
239,60
239,13
239,25
239,123
239,66
239,113
239,40
239,277
239,338
239,200
239,170
239,72
239,104
239,231
239,303
239,98
239,142
172,342
172,308
172,232
172,141
172,98
172,313
172,331
172,277
172,238
172,13
172,159
172,223
172,325
172,29
172,212
172,118
172,261
172,113
172,231
172,72
172,103
172,265
172,16
172,128
172,203
172,56
172,40
172,298
172,59
172,268
322,53
322,207
322,25
322,104
322,290
322,142
322,48
322,203
322,45
322,136
322,56
322,128
322,60
322,1
322,161
322,126
322,85
322,323
322,341
322,185
322,118
322,303
322,297
322,246
322,315
322,30
322,109
322,221
322,88
322,308
322,21
322,158
322,178
322,257
322,75
322,7
322,242
322,250
322,339
322,67
322,345
322,170
322,224
322,87
322,260
322,188
322,232
322,277
322,38
322,40
322,342
322,200
322,169
53,299
53,1
53,48
53,196
53,94
53,260
53,266
53,254
53,248
53,242
53,191
53,54
53,317
53,330
53,101
53,249
53,180
53,302
53,146
53,315
53,194
53,88
53,92
3,170
3,283
3,85
3,228
3,200
3,25
3,72
3,142
3,188
3,323
3,67
3,274
170,56
170,223
170,274
170,142
170,119
170,290
170,200
170,21
170,250
170,188
170,315
170,124
170,128
170,55
170,342
170,268
170,203
170,260
170,277
170,313
170,185
170,85
170,98
170,75
170,67
170,25
170,323
170,341
170,334
175,46
175,278
175,263
175,19
175,143
175,321
175,99
175,23
175,68
175,177
175,277
175,86
175,296
175,225
175,102
175,227
46,177
46,278
46,143
56,67
56,134
56,109
56,104
56,88
56,141
56,265
56,185
56,128
56,21
56,297
56,238
56,30
56,103
56,132
56,59
56,55
56,232
56,161
56,75
56,331
56,66
56,290
56,207
56,119
56,169
56,221
56,342
56,136
56,203
56,72
56,188
56,334
56,298
56,60
56,212
56,341
56,222
56,313
56,277
56,231
56,142
56,315
56,40
56,118
56,200
56,291
56,303
56,323
56,325
56,63
56,25
56,13
56,223
56,98
56,261
56,113
254,194
254,302
254,187
254,101
254,249
254,330
254,94
254,266
254,299
254,242
254,180
254,196
254,92
194,242
194,299
194,196
194,92
194,80
194,1
194,266
194,302
194,101
194,180
194,249
194,94
194,187
231,117
231,315
231,178
231,232
231,25
231,40
231,29
231,106
231,291
231,77
117,77
117,38
127,135
127,197
127,284
127,36
127,159
127,320
127,21
127,281
127,108
127,251
127,139
127,309
127,184
135,36
135,309
135,281
135,197
135,184
135,251
135,284
135,320
103,339
103,323
103,169
103,185
103,136
103,98
103,25
103,7
103,200
188,119
188,274
188,200
188,13
188,104
188,315
188,323
188,25
188,67
188,85
188,165
188,208
188,291
188,297
188,30
188,342
188,156
188,258
188,341
188,277
188,79
188,334
188,21
188,75
188,290
188,142
188,224
188,223
188,113
188,185
23,116
23,83
23,230
23,227
23,61
23,144
23,245
23,190
23,240
23,99
23,267
23,51
23,237
23,155
23,124
116,14
116,149
116,326
116,312
116,17
116,214
116,140
116,226
116,115
116,41
116,144
116,343
116,28
116,162
116,2
73,299
73,126
73,1
73,88
73,331
73,48
73,30
73,25
299,101
299,48
299,94
299,187
299,1
299,180
299,92
299,249
299,80
299,330
299,300
299,242
299,302
288,315
288,25
315,345
315,1
315,303
315,80
315,158
315,185
315,249
315,257
315,291
315,87
315,313
315,94
315,246
315,203
315,323
315,98
315,128
315,121
315,169
315,5
315,302
315,40
315,324
315,132
315,223
315,105
315,136
315,339
315,277
315,67
315,142
315,224
315,21
315,7
119,323
119,339
119,48
119,109
119,171
119,342
119,54
119,39
119,318
119,185
119,313
119,148
119,113
119,217
119,67
119,25
119,125
119,208
119,269
119,21
119,324
119,128
119,64
119,325
119,248
119,132
119,13
119,50
119,1
119,189
119,150
119,331
119,27
119,163
119,229
119,203
119,98
119,277
119,297
119,100
119,79
119,105
119,146
119,261
119,200
323,25
323,142
323,85
323,248
323,141
323,96
323,290
323,200
323,100
323,67
323,297
323,341
323,308
323,75
323,258
323,274
323,21
323,277
323,10
323,109
48,57
48,320
48,80
48,126
48,30
48,88
48,54
48,1
48,203
48,180
48,330
48,302
57,242
57,92
57,249
57,302
57,80
57,277
57,184
57,108
57,320
200,98
200,123
200,109
200,277
200,55
200,40
200,39
200,30
200,232
200,224
200,75
200,203
200,72
200,118
200,67
200,104
200,45
200,31
200,297
200,325
200,248
200,113
200,25
200,223
200,165
200,185
200,324
200,79
200,334
200,274
200,142
200,10
200,21
98,21
98,265
98,223
98,331
98,148
98,325
98,203
98,104
98,123
98,113
98,13
98,342
98,261
98,313
98,128
98,59
98,277
98,141
98,25
98,118
98,258
98,291
98,67
98,109
98,238
313,63
313,265
313,146
313,21
313,54
313,203
313,222
313,128
313,60
313,261
313,13
313,342
313,339
313,118
313,113
313,314
313,67
313,325
313,39
313,223
313,238
63,261
63,342
344,185
344,212
344,257
344,104
344,67
344,311
67,141
67,345
67,212
67,342
67,69
67,142
67,196
67,55
67,45
67,297
67,109
67,104
67,136
67,203
67,123
67,290
67,75
67,248
67,265
67,156
67,113
67,224
67,325
67,66
67,134
67,128
67,13
67,277
67,72
67,21
67,79
67,25
67,303
67,261
67,185
67,10
67,158
67,223
67,169
67,308
67,324
67,334
67,118
67,161
67,31
67,40
118,325
118,109
118,134
118,261
118,283
118,13
118,161
118,324
118,268
118,331
118,29
118,222
118,342
118,203
118,277
118,16
118,265
118,238
118,59
325,109
325,261
325,104
325,21
325,161
325,222
325,13
325,265
325,277
325,59
325,311
325,203
325,113
325,268
325,223
325,40
325,158
325,342
325,25
325,238
277,308
277,31
277,248
277,39
277,13
277,105
277,161
277,324
277,50
277,142
277,21
277,55
277,22
277,120
277,334
277,159
277,25
277,342
277,169
277,291
277,339
277,208
277,294
277,132
277,113
277,40
277,311
277,10
277,109
277,290
277,104
277,168
277,203
277,134
134,21
134,132
134,66
134,142
134,203
134,238
134,113
134,334
134,248
270,76
270,203
270,25
76,25
36,251
36,309
36,320
36,284
36,197
36,108
36,184
36,281
223,203
223,261
223,21
223,13
223,265
223,342
223,246
223,128
274,21
274,341
274,96
274,185
274,75
274,40
274,85
88,21
88,126
88,178
88,164
88,1
88,106
88,80
88,303
88,25
88,336
88,242
21,212
21,55
21,66
21,203
21,169
21,284
21,297
21,184
21,108
21,235
21,161
21,342
21,334
21,142
21,105
21,308
21,232
21,248
21,136
21,121
21,251
21,109
21,281
21,165
21,104
21,39
21,345
21,197
21,40
21,159
21,13
21,31
21,25
21,123
339,168
339,38
339,136
339,340
339,161
339,31
339,22
339,334
339,246
339,129
339,87
339,158
339,148
339,146
339,152
339,260
339,7
339,291
339,347
108,197
108,284
108,281
108,251
108,320
108,184
108,159
197,139
197,251
197,320
197,284
197,281
197,309
197,159
197,184
169,136
169,185
169,40
169,25
169,257
169,10
169,248
169,334
169,106
169,318
169,125
169,291
169,104
169,165
169,5
169,142
169,109
169,128
169,113
169,121
275,273
275,218
275,328
275,195
275,78
275,181
275,306
275,152
275,4
273,78
273,328
273,218
273,181
273,195
273,4
273,306
83,25
83,31
83,51
83,237
28,312
28,310
28,144
28,115
28,151
28,226
28,326
28,14
28,140
28,41
28,149
312,137
312,243
312,149
312,326
312,19
312,111
312,115
312,262
312,14
312,44
312,226
312,305
312,220
312,20
312,17
312,2
312,140
312,343
312,214
312,162
312,151
312,41
312,144
242,92
242,330
242,266
242,249
242,180
242,158
242,80
242,101
242,132
242,302
242,94
242,187
214,20
214,326
214,137
214,19
214,41
214,111
214,140
214,14
214,115
214,289
214,333
214,17
214,230
214,343
20,333
20,149
20,14
20,2
20,44
20,115
20,226
20,41
20,111
20,162
20,326
20,343
307,71
307,230
307,40
71,230
333,2
333,149
333,343
333,226
333,162
168,31
168,347
168,129
168,7
168,22
168,291
168,158
308,161
308,31
308,142
308,246
308,203
308,338
308,7
308,87
308,136
308,22
308,334
308,66
341,203
128,150
128,104
128,265
128,248
128,334
128,203
334,113
334,123
334,132
334,40
334,165
334,142
334,203
334,229
334,50
334,318
334,66
238,265
238,342
238,222
238,13
238,203
238,324
238,59
238,261
238,106
265,40
265,311
265,203
265,298
265,331
265,342
265,13
265,261
265,248
141,224
141,72
141,257
141,38
141,258
141,39
141,291
141,25
141,40
78,218
78,328
78,306
78,181
78,195
78,4
345,159
345,142
345,178
345,261
345,303
345,45
317,158
317,132
317,40
317,101
317,146
158,40
158,142
158,25
158,232
158,109
158,132
158,22
158,291
158,113
158,248
158,5
158,60
38,178
38,248
38,7
302,266
302,94
302,249
302,187
302,330
302,101
302,92
302,180
27,54
27,324
54,1
139,159
139,320
139,281
139,184
139,251
139,284
109,331
109,303
109,324
109,148
109,142
109,203
109,229
109,104
109,295
109,31
109,314
109,50
109,13
109,297
291,10
291,25
291,224
291,72
291,31
291,258
291,7
291,208
291,60
291,129
291,87
291,232
291,113
291,248
142,161
142,66
142,10
142,113
142,31
142,104
142,303
142,45
142,297
142,40
142,123
142,203
203,25
203,59
203,161
203,55
203,297
203,331
203,338
203,268
203,261
203,342
203,104
203,50
203,113
203,29
203,40
203,324
105,257
105,69
105,148
105,25
105,39
232,224
232,25
232,212
232,40
232,298
232,72
64,217
64,171
64,150
64,189
64,100
217,324
217,189
217,100
217,171
217,150
248,311
126,260
126,1
224,261
224,96
224,40
224,148
224,25
224,30
224,324
261,16
261,113
261,268
261,13
261,318
261,123
261,59
261,297
261,314
261,342
261,55
261,148
283,25
283,228
144,226
144,326
144,14
144,343
144,151
144,17
144,41
144,115
144,149
144,140
226,343
226,149
226,115
226,14
226,2
226,41
226,326
290,25
290,185
290,342
25,94
25,257
25,104
25,148
25,69
25,72
25,297
25,113
25,185
25,336
25,51
25,40
25,39
25,79
25,31
25,237
25,331
25,221
25,246
342,59
342,123
342,314
342,113
342,13
342,165
146,50
146,136
146,148
300,94
300,80
300,320
94,330
94,80
94,320
94,92
94,180
94,101
94,187
94,249
94,266
1,92
184,159
184,284
184,320
184,281
184,309
184,251
159,284
159,281
159,320
149,343
149,326
149,162
149,115
149,2
149,14
13,148
13,59
59,250
59,268
17,326
17,310
17,140
17,41
17,111
17,19
17,137
17,115
326,343
326,140
326,162
326,115
326,41
326,137
326,14
326,2
326,111
80,187
80,330
80,320
80,101
80,266
80,180
80,92
80,249
80,173
187,249
187,101
187,92
187,180
187,5
187,266
161,87
161,258
161,39
161,314
66,113
31,237
31,51
31,338
31,129
31,7
136,7
136,125
136,156
136,87
136,324
136,120
136,246
7,246
7,129
7,22
7,340
7,347
7,87
255,49
49,192
49,241
320,309
320,281
320,251
320,284
85,156
85,258
85,75
246,87
246,340
123,104
123,318
123,55
284,251
284,281
284,309
140,137
140,115
140,41
137,115
137,167
137,111
137,289
137,41
137,310
137,93
137,32
137,243
137,337
343,115
343,111
343,2
343,162
343,44
343,19
343,41
343,14
115,2
115,19
115,14
115,262
115,41
115,220
115,192
297,185
297,324
185,55
185,22
185,79
185,148
104,303
104,113
104,318
104,45
104,295
104,55
104,212
324,331
324,301
324,22
324,150
324,340
171,107
171,150
171,189
171,58
111,279
111,337
111,310
111,44
111,41
111,93
14,151
14,41
14,310
310,32
310,151
310,93
310,167
310,41
310,337
310,243
32,167
32,337
32,93
30,303
30,178
30,331
222,240
92,180
92,196
92,330
92,266
92,249
92,101
72,40
72,165
72,113
72,298
72,212
72,132
40,298
40,77
40,29
40,212
40,132
40,257
40,258
40,113
266,249
266,330
266,196
266,101
266,180
212,295
212,298
278,177
278,86
278,143
278,225
278,99
278,131
278,227
237,51
311,132
309,281
309,251
330,249
330,196
330,101
230,70
230,41
230,97
230,253
16,331
16,29
249,196
249,180
249,101
249,163
39,121
39,257
39,165
39,69
251,281
69,121
113,132
113,50
113,148
113,165
113,121
258,257
258,295
258,156
258,75
257,295
196,180
156,295
156,5
156,235
303,45
303,221
303,132
303,178
286,81
81,269
174,293
174,112
174,19
293,19
33,42
347,129
347,22
263,99
263,68
263,102
263,227
263,296
338,29
19,112
19,138
19,289
19,319
19,227
19,89
19,41
218,328
218,181
218,195
218,4
218,306
314,50
314,96
5,235
5,180
5,87
5,316
178,206
192,205
192,52
243,41
243,216
243,167
243,337
195,181
195,306
195,4
195,328
181,152
181,328
181,306
181,4
8,245
8,259
8,91
8,264
8,201
8,110
8,193
245,91
245,259
328,306
328,4
331,50
150,100
150,163
150,189
101,180
99,296
99,131
99,68
99,102
99,225
99,177
99,227
99,143
296,102
296,227
296,68
102,227
163,173
163,100
173,34
173,166
173,202
165,121
121,206
306,4
177,143
177,68
177,227
177,131
177,225
177,86
87,22
189,100
259,201
259,110
259,91
259,193
259,264
45,221
45,132
58,269
58,107
269,100
167,93
167,337
227,225
227,143
227,68
227,131
227,86
96,190
91,193
91,264
91,110
91,201
143,131
143,68
143,225
143,35
143,321
61,193
93,337
93,41
41,151
41,337
41,44
6,89
6,147
6,319
6,219
6,95
89,319
89,327
89,95
89,219
89,147
301,47
106,29
29,247
110,264
225,86
225,68
225,131
152,4
148,50
148,229
260,160
260,206
262,220
97,182
124,157
90,179
179,145
157,155
327,95
327,319
95,319
95,147
120,247
190,229
282,244
319,219
319,147
233,256
166,202
166,198
147,219
77,294
219,154
182,253
